,price
6168,5249985.0
3662,5999966.04
831,4699982.7
3994,6989964.1
1456,6299989.600000001
4024,8100000.0
4905,14799994.0
238,3619980.0
92,1890000.0
2977,8099984.199999999
7124,4598991.8
7362,4200000.0
5510,5353998.0
3934,5949949.4
4421,9499946.889999999
4519,9999956.200000001
4230,8700000.0
5048,9999988.8
1001,4899972.0
4147,7649987.800000001
7675,5799973.199999999
2377,5099980.6
6416,5149999.399999999
6693,3049994.0
6606,4981988.0
4051,7999957.800000001
1532,5799976.0
2410,8699985.799999999
7449,7999995.199999999
411,5399975.0
4184,7899968.0
7682,6098990.6
7741,4899984.0
2805,8199981.0
7399,8399952.0
7062,6469446.5
3082,8199987.8
4450,8599986.2
1736,2499999.6
3668,6499980.0
5036,10199992.74
7310,9799953.0
6343,3300000.0
6110,6849990.0
3411,5999995.300000001
633,2749984.5
3021,7499996.6
498,3809989.0
3755,6799956.399999999
2463,7999974.800000001
7864,4500000.0
637,3699990.1
720,2398992.0
288,3089975.0
757,3149995.0
3288,8549987.0
3783,6499993.5
3089,8399986.3
4371,10148980.0
4764,11360000.0
4812,9398979.8
449,4899970.0
596,4500000.0
3612,6799950.0
1068,5089986.0
1942,3099984.0
1647,6499993.5
3982,7599987.699999999
5277,5500000.0
2700,4849985.0
1700,1849980.2400000002
6427,4899975.600000001
4761,11499937.2
3932,4099995.9
2942,8999973.3
6572,5252975.350000001
3487,10989990.0
7257,5899998.0
2123,4186000.0000000005
6199,4299997.8
86,1519989.5
2308,3749994.4000000004
2677,4999995.600000001
5409,5499983.7
5866,6389966.0
6674,5598984.9799999995
2594,5999990.9
5216,5759981.699999999
3058,8500000.0
1029,5499970.0
3968,6698947.0
2876,8799977.6
4511,9649995.0
3482,6699996.0
2144,3150997.5
6261,3049993.6
6327,3549994.8
5033,10349985.9
1200,5899968.0
2025,2569997.0
621,3289988.0
7288,7799990.0
566,1449990.0
5783,5689999.399999999
1837,2249999.1
1334,5598983.3
3886,4999948.0
7617,9548923.200000001
2099,5099989.399999999
7258,5900279.8
3422,7749960.0
4335,11249995.0
1688,2149992.0
745,2749993.2
7250,4089993.6
5487,5999983.399999999
2187,2850000.0
195,2799962.4
1152,5619988.77
3428,7989993.0
6047,7100000.0
802,3900000.0
4923,14196160.0
2350,3500000.0
5867,6680000.0
7508,10999950.0
7256,5600000.0
5190,6609700.0
2068,6229793.600000001
2907,8499983.0
3574,8149979.199999999
6192,4400000.0
644,2598991.0
7087,6000000.0
6012,6699996.0
3458,3199975.0
3790,7589960.5
7764,6299990.999999999
120,2399981.76
1777,7499975.0
2981,7979972.2
4279,8299959.0
3074,8500000.0
7894,4749984.0
5214,6299974.8
6999,4399995.6
3035,8499970.4
2135,3631399.1999999997
5567,5089983.0
4899,15107400.0
134,2199998.0
7442,9998940.0
4128,7849000.0
4359,10299993.4
5012,11599989.1
3773,7499969.399999999
